id,media_type,url,version_id
94692e1d-4c8d-4d08-82f0-d93160832a89,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1593ih/xml/BILLS-119hr1593ih.xml,80c21f97-24cc-459e-bc2c-401f8aa3a2ae
cb04602c-78db-4565-8ba9-3cd043ee4f59,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119s392is/pdf/BILLS-119s392is.pdf,949cb76b-176d-4f13-9e8c-f4d55ef1510e
894b7cee-a2f9-4d98-8b59-368048bbe61b,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119s392is/xml/BILLS-119s392is.xml,949cb76b-176d-4f13-9e8c-f4d55ef1510e
bf23b28f-e29d-4820-a070-5346d411e338,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1806ih/xml/BILLS-119hr1806ih.xml,07dec294-c0c7-40ab-9f0c-6266424b2245
6311230a-18db-4bbd-a31b-8245fd1720cc,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1602ih/pdf/BILLS-119hr1602ih.pdf,46fc46cd-d00e-4095-bd72-79e1025d515e
92da67e4-96c6-43ec-b37e-604c7043b9be,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1639ih/pdf/BILLS-119hr1639ih.pdf,085f4370-7be1-4ee1-a255-7d2a8c9b67c8
3bffb9df-8921-43fa-93cc-153747755fd9,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1639ih/xml/BILLS-119hr1639ih.xml,085f4370-7be1-4ee1-a255-7d2a8c9b67c8
ac4bac30-f4f4-4167-be87-e770f1cf9eff,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr216ih/pdf/BILLS-119hr216ih.pdf,35cc19aa-d76b-4799-bfb2-ba6e91835cef
d1d2609d-bdf8-4752-a672-659da4a51125,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr216ih/xml/BILLS-119hr216ih.xml,35cc19aa-d76b-4799-bfb2-ba6e91835cef
d84ec18b-f93b-44a1-a461-d42256427260,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1620ih/pdf/BILLS-119hr1620ih.pdf,854dceff-95ff-46e5-a8f6-b03f4e6d5c25
ec81c893-8e1c-49f6-ba62-e2668ffefd5f,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1620ih/xml/BILLS-119hr1620ih.xml,854dceff-95ff-46e5-a8f6-b03f4e6d5c25
c7801cf7-f44f-4cb2-920e-830d9bbcd51a,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1602ih/xml/BILLS-119hr1602ih.xml,46fc46cd-d00e-4095-bd72-79e1025d515e
1908d2f7-6083-45a5-b896-e5f7407572c4,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1602rh/pdf/BILLS-119hr1602rh.pdf,6b96669c-3a84-4862-8198-09930bb4eacf
a75f7a7a-719b-4f76-b767-097d6837e890,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr1595ih/pdf/BILLS-119hr1595ih.pdf,278da853-a68b-4578-81e8-305223eb1010
dadf347f-2cc8-4e05-b3fa-51994d9c63cd,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1595ih/xml/BILLS-119hr1595ih.xml,278da853-a68b-4578-81e8-305223eb1010
eb0eb736-6fb6-43a3-886c-dd7dd04da77a,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr1602rh/xml/BILLS-119hr1602rh.xml,6b96669c-3a84-4862-8198-09930bb4eacf
388d3f97-1149-4646-946c-9a413d381e3d,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hr854ih/pdf/BILLS-119hr854ih.pdf,f1a9462a-801a-42e3-b8b7-3d3da31b1ba3
37b2b88e-268f-46b1-badb-efdbdbf96ed4,text/xml,https://www.govinfo.gov/content/pkg/BILLS-119hr854ih/xml/BILLS-119hr854ih.xml,f1a9462a-801a-42e3-b8b7-3d3da31b1ba3
67026ca2-d1f9-4375-91a3-b15f93b426ac,application/pdf,https://www.govinfo.gov/content/pkg/BILLS-119hres42eh/pdf/BILLS-119hres42eh.pdf,0c0e38f0-e591-4094-b2f4-a608938d790d
