id,bill_id,related_bill_id,identifier,legislative_session,relation_type
dcfc674c-7d97-46e8-87f1-b0d46c6d59a5,ocd-bill/b051f104-6992-4813-b521-4e4efd7877bc,ocd-bill/41b1cfd0-ba95-4ee9-ab0e-97eae851f4a6,HR 973,119,companion
18fe7e80-0975-45cf-b7e1-e2448df3ae1a,ocd-bill/00a3f65a-196c-4b3e-a8b8-c328f8eb8f57,ocd-bill/5ac3b22b-38c1-4f0a-aeb8-2f7bd4636eb9,HR 1479,119,companion
d79d9fc0-e88a-4643-84dd-a17ad810a08b,ocd-bill/2d023694-563f-4979-b133-7f13c80f2e3a,ocd-bill/0d454edb-c969-4b78-995d-d5dbae501602,HR 131,119,companion
3a13a6df-8471-4df5-8a12-7ab84f0f137b,ocd-bill/5ac3b22b-38c1-4f0a-aeb8-2f7bd4636eb9,ocd-bill/00a3f65a-196c-4b3e-a8b8-c328f8eb8f57,S 314,119,companion
6437fc56-7545-4a4d-a691-02f0d83ff26e,ocd-bill/276f4871-d4c4-4313-a2dc-baa3c7160ee5,ocd-bill/e55d0f74-b43c-4c8c-8536-02d95ad34a47,HR 921,119,companion
50051f86-17eb-4dbd-8e7d-2a7f4d8a51d1,ocd-bill/9a678cb5-2af6-46ab-8fa8-0d98464c6dc8,ocd-bill/2e1e1de7-8b0d-4263-bdcd-326a5dc5dd09,HJRES 12,119,companion
711602b6-9aad-4ddd-be75-ea58425b52a3,ocd-bill/9a678cb5-2af6-46ab-8fa8-0d98464c6dc8,ocd-bill/d04b9bf6-1cd6-4b70-bc89-c8ef56e0bc61,SJRES 1,119,companion
441a64ec-1d4f-40d6-9dd0-7f9508098287,ocd-bill/d04b9bf6-1cd6-4b70-bc89-c8ef56e0bc61,ocd-bill/9a678cb5-2af6-46ab-8fa8-0d98464c6dc8,SJRES 2,119,companion
b75f27c7-2007-4014-a81c-9441116e27aa,ocd-bill/d04b9bf6-1cd6-4b70-bc89-c8ef56e0bc61,ocd-bill/2e1e1de7-8b0d-4263-bdcd-326a5dc5dd09,HJRES 12,119,companion
183668bd-ffab-461b-be25-0a8e2c1d0d96,ocd-bill/522cc25e-dffc-40e0-a687-08221d5a29f1,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,HRES 5,119,companion
